experiment,condition,model,memory,avg_accuracy,squared_error,ape,word_type
Exp3,Conflict-first,might_10.5,10.5,0.3734624999999994,2.6633074298467466e-4,0.04569499999999835,target
Exp3,Conflict-first,might_11.0,11,0.3758000000000002,0.02125764000000005,0.6339130434782616,target
Exp3,Conflict-first,might_11.0,11,0.3758000000000002,3.480889795918435e-4,0.05224000000000051,target
Exp3,Conflict-first,might_11.5,11.5,0.38348749999999937,0.0235584126562498,0.6673369565217363,target
Exp3,Conflict-first,might_11.5,11.5,0.38348749999999937,6.940402072703746e-4,0.07376499999999821,target
Exp3,Conflict-first,might_12.0,12,0.38742499999999974,0.02478263062499991,0.6844565217391292,target
Exp3,Conflict-first,might_12.0,12,0.38742499999999974,9.17008176020392e-4,0.08478999999999925,target
Exp3,Conflict-first,might_12.5,12.5,0.3921625000000013,0.02629667640625042,0.7050543478260926,target
Exp3,Conflict-first,might_12.5,12.5,0.3921625000000013,0.00122637538584192,0.09805500000000364,target
Exp3,Conflict-first,might_3,3,0.3036875000000003,0.00542984765625003,0.32038043478260986,target
Exp3,Conflict-first,might_3,3,0.3036875000000003,0.00285747520727037,0.14967499999999925,target
Exp3,Conflict-first,might_3.5,3.5,0.3073749999999996,0.00598689062499994,0.3364130434782592,target
Exp3,Conflict-first,might_3.5,3.5,0.3073749999999996,0.00247683960459187,0.13935000000000108,target
Exp3,Conflict-first,might_4.0,4,0.3145500000000001,0.00714870250000001,0.3676086956521743,target
Exp3,Conflict-first,might_4.0,4,0.3145500000000001,0.00181415147959182,0.11925999999999971,target
Exp3,Conflict-first,might_4.5,4.5,0.3200749999999996,0.00811350562499992,0.39163043478260695,target
Exp3,Conflict-first,might_4.5,4.5,0.3200749999999996,0.00137402603316329,0.10379000000000112,target
Exp3,Conflict-first,might_5.0,5,0.32707499999999956,0.00942355562499991,0.4220652173913024,target
Exp3,Conflict-first,might_5.0,5,0.32707499999999956,9.040760331632922e-4,0.08419000000000125,target
Exp3,Conflict-first,might_5.5,5.5,0.32954999999999995,0.00991020249999999,0.4328260869565214,target
Exp3,Conflict-first,might_5.5,5.5,0.32954999999999995,7.613657653061254e-4,0.07726000000000015,target
Exp3,Conflict-first,might_6.0,6,0.33351250000000016,0.01071483765625003,0.4500543478260875,target
Exp3,Conflict-first,might_6.0,6,0.33351250000000016,5.583937786989726e-4,0.06616499999999959,target
Exp3,Conflict-first,might_6.5,6.5,0.3364500000000005,0.01133160250000011,0.46282608695652394,target
Exp3,Conflict-first,might_6.5,6.5,0.3364500000000005,4.281943367346725e-4,0.05793999999999855,target
Exp3,Conflict-first,might_7.0,7,0.34262500000000123,0.01268439062500027,0.4896739130434836,target
Exp3,Conflict-first,might_7.0,7,0.34262500000000123,2.1076817602037255e-4,0.04064999999999656,target
Exp3,Conflict-first,might_7.5,7.5,0.34802500000000014,0.01392990062500003,0.513152173913044,target
Exp3,Conflict-first,might_7.5,7.5,0.34802500000000014,8.313531887754862e-5,0.02552999999999963,target
Exp3,Conflict-first,might_8.0,8,0.3522750000000004,0.01495117562500009,0.5316304347826103,target
Exp3,Conflict-first,might_8.0,8,0.3522750000000004,2.3696033163261554e-5,0.01362999999999892,target
Exp3,Conflict-first,might_8.5,8.5,0.35598750000000046,0.01587285015625011,0.5477717391304368,target
Exp3,Conflict-first,might_8.5,8.5,0.35598750000000046,1.3348501275499842e-6,0.00323499999999874,target
Exp3,Conflict-first,might_9.0,9,0.36024999999999985,0.01696506249999995,0.5663043478260862,target
Exp3,Conflict-first,might_9.0,9,0.36024999999999985,9.654336734692884e-6,0.00869999999999955,target
Exp3,Conflict-first,might_9.5,9.5,0.36468749999999944,0.01814072265624984,0.585597826086954,target
Exp3,Conflict-first,might_9.5,9.5,0.36468749999999944,5.692163584182821e-5,0.02112499999999841,target
