experiment,condition,model,memory,avg_accuracy,squared_error,ape
Yurovsky,2 primacy first meaning,might,8,0.43024549690520897,0.00878990685055118,0.17892080743280733
Yurovsky,2 primacy singleton,might,8,0.5312711291413116,1.054960938374996e-4,0.01971425938831394
Yurovsky,2 recency second meaning,might,8,0.4340736084922131,0.00687678640850274,0.1603992098796651
Yurovsky,2 recency singleton,might,8,0.537766497461929,0.00195660274678553,0.07600258168053439
Yurovsky,1 both first meaning,might,8.5,0.4739346297062474,0.00250654130265056,0.09554459979723784
Yurovsky,1 both second meaning,might,8.5,0.3749446167478954,0.00687980944745525,0.2840569066708748
Yurovsky,1 both singleton,might,8.5,0.6291716928025733,1.645654655515489e-4,0.01998178691187954
Yurovsky,1 primacy first meaning,might,8.5,0.5417004048582995,0.00146685898801816,0.06603378472706975
Yurovsky,1 primacy singleton,might,8.5,0.6247985495568089,2.958898973495594e-4,0.02679353651587399
Yurovsky,1 recency second meaning,might,8.5,0.538148148148148,7.923182441700896e-4,0.05519244734930987
Yurovsky,1 recency singleton,might,8.5,0.6222738287560581,3.891218319453218e-4,0.03072612343293136
Yurovsky,2 both first meaning,might,8.5,0.36423303834808257,2.025793806179897e-4,0.04066582385166455
Yurovsky,2 both second meaning,might,8.5,0.38188048832726496,2.3819166312569463e-5,0.01294559238001314
Yurovsky,2 both singleton,might,8.5,0.5664304993252361,7.343634181477736e-5,0.01490347943437184
Yurovsky,2 primacy first meaning,might,8.5,0.453697883930442,0.0049423875238576,0.13416434364419463
Yurovsky,2 primacy singleton,might,8.5,0.5640196672728497,0.00185069177226669,0.08257133833560397
Yurovsky,2 recency second meaning,might,8.5,0.4472015439757375,0.0048718244633709,0.13500668476646516
Yurovsky,2 recency singleton,might,8.5,0.5667407856613436,2.3284362223305712e-4,0.0262185813378976
Yurovsky,1 both first meaning,might,9,0.4915271750361645,0.00105448436113189,0.0619710400073197
Yurovsky,1 both second meaning,might,9,0.3678571428571428,0.00575430612244897,0.25978473581213307
Yurovsky,1 both singleton,might,9,0.672623828647925,9.378188810574726e-4,0.04770066767589565
Yurovsky,1 primacy first meaning,might,9,0.5626861630111021,2.997689512781284e-4,0.02985144308430669
Yurovsky,1 primacy singleton,might,9,0.664123669945794,4.894567718704267e-4,0.03446054508690647
Yurovsky,1 recency second meaning,might,9,0.545166295621669,0.00123666834775061,0.06895352082680187
Yurovsky,1 recency singleton,might,9,0.6636199276817999,4.674212729662566e-4,0.03367589981588766
Yurovsky,2 both first meaning,might,9,0.3819851080748934,0.0010230471385626,0.09138602307112388
Yurovsky,2 both second meaning,might,9,0.3774805867126833,2.3096358840774685e-7,0.00127476581613609
Yurovsky,2 both singleton,might,9,0.6039610607586439,8.387430402658641e-4,0.05036706218894593
Yurovsky,2 primacy first meaning,might,9,0.466824481954165,0.0032690398638096,0.1091135840569371
Yurovsky,2 primacy singleton,might,9,0.6102248249865374,0.00796106939387822,0.1712568617783827
Yurovsky,2 recency second meaning,might,9,0.4601703062766103,0.00322961408869427,0.10992203814968993
Yurovsky,2 recency singleton,might,9,0.6059415911379658,5.73199786217522e-4,0.04113675453258727
Yurovsky,1 both first meaning,might,9.5,0.5043805612594113,3.849223764957123e-4,0.03744167698585628
Yurovsky,1 both second meaning,might,9.5,0.3609126097960399,0.00474894778890125,0.23600208834260247
Yurovsky,1 both singleton,might,9.5,0.7016172146484897,0.00355421228244409,0.09286170505995275
Yurovsky,1 primacy first meaning,might,9.5,0.5763397371081901,1.3397524437160378e-5,0.00631079808932736
Yurovsky,1 primacy singleton,might,9.5,0.7074148296593187,0.00427909993935767,0.1018922580363219
Yurovsky,1 recency second meaning,might,9.5,0.5488610324841623,0.00151017984573511,0.07619810291012212
Yurovsky,1 recency singleton,might,9.5,0.7099953230440301,0.00462336395586201,0.10591171813711855
Yurovsky,2 both first meaning,might,9.5,0.3905542376536554,0.00164464619166916,0.11586925043901544
Yurovsky,2 both second meaning,might,9.5,0.3888534354392682,1.4050393171289932e-4,0.03144147331370876
Yurovsky,2 both singleton,might,9.5,0.6392794964510512,0.0041318536640007,0.1117904286105239
Yurovsky,2 primacy first meaning,might,9.5,0.48672959846774744,0.00138908283037533,0.07112672048139806
Yurovsky,2 primacy singleton,might,9.5,0.6427565392354124,0.01482465484658452,0.23369777204493744
Yurovsky,2 recency second meaning,might,9.5,0.4671405026782036,0.00248596947318222,0.09644003350444176
Yurovsky,2 recency singleton,might,9.5,0.639518555667001,0.00330838424601789,0.0988291334484554
Yurovsky,1 both first meaning,might,10,0.5149319727891156,8.22291174973399e-5,0.01730539544061908
Yurovsky,1 both second meaning,might,10,0.3553345388788427,0.00401126381499564,0.21689910574946136
Yurovsky,1 both singleton,might,10,0.7449783116449783,0.01060453266925027,0.16040235458719357
Yurovsky,1 primacy first meaning,might,10,0.5943446977338444,2.0577035307536043e-4,0.0247322374721455
Yurovsky,1 primacy singleton,might,10,0.7403217193966093,0.00966716050510557,0.15314909563334778
Yurovsky,1 recency second meaning,might,10,0.5486993345432547,0.00149763849409074,0.07588104812402881
Yurovsky,1 recency singleton,might,10,0.7417435486027544,0.00994877548787002,0.1553637828703339
Yurovsky,2 both first meaning,might,10,0.3977507295892946,0.00228013217630993,0.13643065596941317
Yurovsky,2 both second meaning,might,10,0.3879372651055218,1.1962376798846452e-4,0.02901131327724612
Yurovsky,2 both singleton,might,10,0.6698087979676427,0.0089887081720693,0.16488486603068306
Yurovsky,2 primacy first meaning,might,10,0.499113112293628,6.19357179709569e-4,0.04749406050834348
Yurovsky,2 primacy singleton,might,10,0.6694444444444444,0.02203575308641973,0.2849221582426955
Yurovsky,2 recency second meaning,might,10,0.468585672334904,0.00234394712326328,0.09364473436188785
Yurovsky,2 recency singleton,might,10,0.675950043411474,0.00882661065701786,0.16142619142864958
Yurovsky,1 both first meaning,might,10.5,0.5223585548738923,2.694342102022902e-6,0.00313252886661785
Yurovsky,1 both second meaning,might,10.5,0.34807994610375026,0.00314496035499953,0.19205460994435028
Yurovsky,1 both singleton,might,10.5,0.7852711626976187,0.02052662606072751,0.22316380482495116
Yurovsky,1 primacy first meaning,might,10.5,0.6064265110350842,6.983604854874269e-4,0.04556295006049
Yurovsky,1 primacy singleton,might,10.5,0.7755306367641169,0.01783043095463053,0.20799164605002635
Yurovsky,1 recency second meaning,might,10.5,0.5513234996969084,0.00170763162720038,0.08102646999393805
Yurovsky,1 recency singleton,might,10.5,0.7776777377617714,0.018408448524152,0.21133604012736976
Yurovsky,2 both first meaning,might,10.5,0.4092871805762016,0.00351496978067513,0.1693919445034331
Yurovsky,2 both second meaning,might,10.5,0.3847886719588071,6.066341088190825e-5,0.02065960731779075
Yurovsky,2 both singleton,might,10.5,0.7107126160422093,0.01841791415302012,0.2360219409429727
Yurovsky,2 primacy first meaning,might,10.5,0.5162046473705666,6.076752261721465e-5,0.0148766271554073
Yurovsky,2 primacy singleton,might,10.5,0.7013416099319183,0.03252309627283616,0.34614512462940167
Yurovsky,2 recency second meaning,might,10.5,0.4767505283970819,0.00162001996431411,0.07785197602111826
Yurovsky,2 recency singleton,might,10.5,0.7055388722055389,0.01526185294581648,0.2122661034459432
Yurovsky,1 both first meaning,might,11,0.5381513857830182,2.0026171957981023e-4,0.0270064614179737
Yurovsky,1 both second meaning,might,11,0.33767222349090353,0.00208595199860304,0.15641172428391628
Yurovsky,1 both singleton,might,11,0.8063225290116046,0.02700189354076963,0.255954095033652
Yurovsky,1 primacy first meaning,might,11,0.6204057039566178,0.00163262091222983,0.06966500682175483
Yurovsky,1 primacy singleton,might,11,0.8022604520904181,0.02568341250422518,0.24962687241498135
Yurovsky,1 recency second meaning,might,11,0.5487205387205387,0.00149928011880873,0.07592262494223276
Yurovsky,1 recency singleton,might,11,0.8049000000000001,0.02653641000000001,0.2537383177570094
Yurovsky,2 both first meaning,might,11,0.4175758847391243,0.00456650019827541,0.19307395639749816
Yurovsky,2 both second meaning,might,11,0.3855356757921966,7.285776122949117e-5,0.02264104984667534
Yurovsky,2 both singleton,might,11,0.7281825460368295,0.02346489241032541,0.2664044278901384
Yurovsky,2 primacy first meaning,might,11,0.5236694393724217,1.0927032850496115e-7,6.308408923250046e-4
