experiment,condition,model,memory,avg_accuracy,squared_error,ape,word_type,cond,block
Exp4,switch target pre-flush,might,7,0.20279999999999895,0.05455197223140543,0.5352500000000023,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,7.5,0.21879999999999936,0.04733393586776886,0.4985833333333348,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,8,0.2343999999999993,0.04078931041322341,0.462833333333335,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,8.5,0.25834999999999997,0.03168885473140496,0.4079479166666667,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,9,0.27354999999999985,0.02650828018595045,0.3731145833333336,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,9.5,0.28769999999999957,0.02210087677685962,0.340687500000001,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,10,0.30730000000000013,0.01665742223140492,0.295770833333333,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,10.5,0.3326999999999998,0.01074614950413227,0.23756250000000048,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,11,0.34344999999999976,0.00863294382231409,0.21292708333333385,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,11.5,0.3681000000000012,0.0046599240495866,0.1564374999999972,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,12,0.38945,0.0022008892768595,0.1075104166666667,target,switch target pre-flush,pre-flush
Exp4,switch target pre-flush,might,12.5,0.4088000000000005,7.597540495867483e-4,0.06316666666666548,target,switch target pre-flush,pre-flush
