experiment,id,condition,phase,item,exposure,word,word_type,target_referent,selected_object,target_selected,selection,input
2,91701,Recall,test,30,test,dax,target,NA,bookcase,1,target,NA
2,91701,Recall,test,31,test,smick,target,NA,headphone,0,foil3,NA
2,91701,Recall,test,32,test,channer,target,NA,clarinet,1,target,NA
2,91701,Recall,test,33,test,yate,one-shot,NA,glove,0,foil1,NA
2,91701,Recall,test,34,test,fendle,one-shot,NA,pliers,0,foil1,NA
2,91701,Recall,test,35,test,mipen,one-shot,NA,controller,0,foil1,NA
2,91701,Recall,test,36,test,zum,one-shot,NA,acorn,0,foil3,NA
2,91701,Recall,test,37,test,plyder,filler,NA,screwdriver,0,foil3,NA
2,91701,Recall,test,38,test,heek,filler,NA,pineapple,0,foil1,NA
2,91701,Recall,test,39,test,toma,filler,NA,pinecone,0,foil3,NA
2,91701,Recall,test,40,test,ruftin,filler,NA,orchid,0,foil2,NA
2,91701,Recall,test,41,test,nortle,filler,NA,guitar,0,foil1,NA
2,91701,Recall,test,42,test,blicket,filler,NA,keyboard,0,foil3,NA
2,91701,Recall,debrief,other languages,NA,NA,NA,NA,NA,NA,NA,yes
2,91701,Recall,debrief,Cheat,NA,NA,NA,NA,NA,NA,NA,My data is good
2,91701,Recall,debrief,Strategies,NA,NA,NA,NA,NA,NA,NA,Which ones appeared every time a certain word was said
2,91701,Recall,debrief,WriteDown,NA,NA,NA,NA,NA,NA,NA,No%2C just remembering
2,91701,Recall,debrief,Other,NA,NA,NA,NA,NA,NA,NA,Thought the gaps in between were extremely long so i ended up not being able to really remember which images were with which words
2,21291,Confirm,learning,1,1,plyder,filler,NA,acorn,0,foil1,NA
2,21291,Confirm,learning,2,1,heek,filler,NA,mitt,0,foil1,NA
2,21291,Confirm,learning,3,1,kuabid,target,NA,orchid,1,target,NA
2,21291,Confirm,learning,4,1,yate,one-shot,NA,glove,1,target,NA
2,21291,Confirm,learning,5,2,kuabid,target,NA,orchid,1,target,NA
2,21291,Confirm,learning,6,1,dax,target,NA,bookcase,1,target,NA
2,21291,Confirm,learning,7,1,fendle,one-shot,NA,broccoli,1,target,NA
2,21291,Confirm,learning,8,2,dax,target,NA,pineapple,0,foil2,NA
2,21291,Confirm,learning,9,1,smick,target,NA,hammer,1,target,NA
