experiment,id,condition,phase,item,exposure,word,word_type,selected_object,target_selected,input
3,26,Confirm-first,learning,36,3,ruftin,filler,hat,1,obj1_3
3,26,Confirm-first,learning,37,3,nortle,filler,car,1,obj1_2
3,26,Confirm-first,learning,38,3,vep,filler,mitt,1,obj1_1
3,26,Confirm-first,learning,39,3,kuabid,filler,apple,0,obj3_3
3,26,Confirm-first,learning,40,3,dax,filler,plane,1,obj1_3
3,26,Confirm-first,learning,41,3,smick,filler,guitar,1,obj1_1
3,26,Confirm-first,learning,42,3,channer,filler,train,0,obj4_2
3,26,Confirm-first,test,43,test,glemp,filler,glove,0,foil1_3_2
3,26,Confirm-first,test,44,test,heek,filler,broccoli,1,target_4
3,26,Confirm-first,test,45,test,toma,filler,phone,0,foil2_2_3
3,26,Confirm-first,test,46,test,ruftin,filler,hat,1,target_3
3,26,Confirm-first,test,47,test,nortle,filler,acorn,0,foil1_3_2
3,26,Confirm-first,test,48,test,vep,filler,mitt,1,target_1
3,26,Confirm-first,test,49,test,kuabid,filler,dresser,0,foil1_1_4
3,26,Confirm-first,test,50,test,dax,filler,plane,1,target_3
3,26,Confirm-first,test,51,test,smick,filler,sandwich,0,foil1_1_1
3,26,Confirm-first,test,52,test,channer,filler,train,0,foil3_3_2
3,26,Confirm-first,test,53,test,yate,target,sunflower,0,foil3_1_4
3,26,Confirm-first,test,54,test,fendle,target,bike,1,target_1
3,26,Confirm-first,test,55,test,mipen,target,violin,0,foil3_1_2
3,26,Confirm-first,test,56,test,zum,target,train,0,foil3_1_2
3,26,Confirm-first,debrief,other languages,NA,NA,NA,NA,NA,no
3,26,Confirm-first,debrief,Cheat,NA,NA,NA,NA,NA,My data is good
3,26,Confirm-first,debrief,Strategies,NA,NA,NA,NA,NA,I didn't use an strategy
3,26,Confirm-first,debrief,WriteDown,NA,NA,NA,NA,NA,No
3,26,Confirm-first,debrief,Other,NA,NA,NA,NA,NA,No
3,27,Confirm-first,learning,1,1,glemp,filler,glove,0,obj1_1
3,27,Confirm-first,learning,2,1,heek,filler,broccoli,0,obj1_1
3,27,Confirm-first,learning,3,1,toma,filler,flute,0,obj2_1
3,27,Confirm-first,learning,4,1,ruftin,filler,hat,0,obj4_1
3,27,Confirm-first,learning,5,1,nortle,filler,headphone,0,obj2_1
3,27,Confirm-first,learning,6,1,vep,filler,mitt,0,obj2_1
3,27,Confirm-first,learning,7,1,kuabid,filler,paperclip,0,obj2_1
3,27,Confirm-first,learning,8,1,dax,filler,shoe,0,obj1_1
3,27,Confirm-first,learning,9,1,smick,filler,pencil,0,obj3_1
3,27,Confirm-first,learning,10,1,channer,filler,screwdriver,0,obj3_1
3,27,Confirm-first,learning,11,1,yate,target,bed,1,obj3_1
3,27,Confirm-first,learning,12,1,fendle,target,bike,1,obj1_1
