Results.reception.time,id,condition,phase,PennElementName,item,exposure,word,word_type,target_selection,target_typed,target_typed_edited,target_superordinate_typed,target_superordinate_selected,selected_object,Value,edited_value,typed_matches_guess_exactly,superordinate_selection,superordinate,typed_matches_guess_super,target_selected,selection,Comments
1702073033,10701,Confirm,test,input,35,test,mipen,One-shot,bus,bus,bus,super-vehicle,super-vehicle,eraser,eraser,eraser,1,super-stationery,super-stationery,1,0,foil3,NULL
1702073033,10701,Confirm,test,test_selector,36,test,zum,One-shot,desk,table,desk,super-furniture,super-furniture,desk,target_1,NA,NA,super-furniture,NA,0,1,target,foil1_1_1;foil1_2_1;foil2_2_3;foil3_3_2;foil3_2_3;target_1;foil1_3_1;foil2_1_1;foil3_1_4
1702073033,10701,Confirm,test,input,36,test,zum,One-shot,desk,table,desk,super-furniture,super-furniture,desk,table,desk,1,super-furniture,super-furniture,1,1,target,NULL
1702073033,10701,Confirm,test,test_selector,37,test,plyder,Foil,car,foil,foil,other,super-electronic,screwdriver,foil3_1_3,NA,NA,super-tool,NA,0,0,foil3,foil3_2_4;foil3_1_3;foil1_1_2;foil3_3_4;foil2_2_4;foil2_1_3;foil1_2_2;foil1_3_2;target_2
1702073033,10701,Confirm,test,input,37,test,plyder,Foil,car,foil,foil,other,super-electronic,screwdriver,screwdriver,screwdriver,1,super-tool,super-tool,1,0,foil3,NULL
1702073033,10701,Confirm,test,test_selector,38,test,heek,Foil,pineapple,foil,foil,other,super-tool,flute,foil2_1_1,NA,NA,super-instrument,NA,0,0,foil2,foil1_2_4;foil3_2_4;foil1_3_4;foil3_3_2;foil3_1_4;foil2_1_1;foil2_2_3;foil1_1_4;target_4
1702073033,10701,Confirm,test,input,38,test,heek,Foil,pineapple,foil,foil,other,super-tool,flute,flute,flute,1,super-instrument,super-instrument,1,0,foil2,NULL
1702073033,10701,Confirm,test,test_selector,39,test,toma,Foil,pants,foil,foil,other,super-furniture,mouse,foil2_1_3,NA,NA,super-electronic,NA,0,0,foil2,foil3_3_3;foil3_1_3;foil3_2_1;foil1_3_1;foil1_1_1;target_1;foil2_1_3;foil1_2_1;foil2_2_3
1702073033,10701,Confirm,test,input,39,test,toma,Foil,pants,foil,foil,other,super-furniture,mouse,mouse,mouse,1,super-electronic,super-electronic,1,0,foil2,NULL
1702073033,10701,Confirm,test,test_selector,40,test,ruftin,Foil,plane,foil,foil,other,super-plant,sandwich,foil2_1_3,NA,NA,super-food,NA,0,0,foil2,foil1_3_3;foil3_2_4;foil2_2_3;target_3;foil2_1_3;foil3_3_1;foil3_1_4;foil1_1_3;foil1_2_3
1702073033,10701,Confirm,test,input,40,test,ruftin,Foil,plane,foil,foil,other,super-plant,sandwich,sandwich,sandwich,1,super-food,super-food,1,0,foil2,NULL
1702073033,10701,Confirm,test,test_selector,41,test,nortle,Foil,keyboard,foil,foil,other,super-stationery,skateboard,foil2_2_4,NA,NA,super-vehicle,NA,0,0,foil2,foil3_1_2;foil3_2_3;foil2_2_4;foil1_2_1;target_1;foil3_3_3;foil1_1_1;foil1_3_1;foil2_1_4
1702073033,10701,Confirm,test,input,41,test,nortle,Foil,keyboard,foil,foil,other,super-stationery,skateboard,skateboard,skateboard,1,super-vehicle,super-vehicle,1,0,foil2,NULL
