trace,memory,mse,mape,rmse
0.85,3.75,0.2691365208333336,1.3180084213172454,0.518783693684886
0.85,4,0.2712272135416666,1.3233110231271994,0.5207947902405194
0.85,4.25,0.27218638541666684,1.325317370537959,0.5217148506767532
0.85,4.5,0.26796098437499993,1.3145735137003518,0.5176494802228627
0.85,4.75,0.2704791979166663,1.3213463109602805,0.520076146267704
0.85,5,0.2681027135416667,1.3149120946455506,0.5177863589760421
0.85,5.25,0.26883465104166676,1.3183619281045753,0.51849267211954575
0.85,5.5,0.26909194791666674,1.318605847787833,0.518740732848951
0.85,5.75,0.26733629687500005,1.3141524478381097,0.5170457396352861
0.85,6,0.27225106770833324,1.3262341314731017,0.5217768370753278
0.85,6.25,0.27005288020833335,1.3209637380593262,0.5196661237836592
0.85,6.5,0.27083692187499997,1.3233817244846655,0.5204199476144241
0.85,6.75,0.271597921875,1.3248008578431372,0.5211505750500521
0.85,7,0.27000796875000005,1.320873004650578,0.5196229101473491
0.85,7.25,0.2698638749999999,1.3214013009049772,0.5194842394144407
0.85,7.5,0.27272254687500025,1.328532711161388,0.5222284431884194
0.92,1,0.2684674166666663,1.3159345148315726,0.5181384145830786
0.92,1.25,0.26537732291666666,1.3080737022373052,0.5151478650995912
0.92,1.5,0.2673589322916666,1.313174412393162,0.5170676283540351
0.92,1.75,0.2655425885416667,1.3084625597033686,0.5153082461417309
0.92,2,0.27070869791666663,1.3219653406234289,0.5202967402518169
0.92,2.25,0.2679229895833333,1.3148578902714931,0.5176127795788406
0.92,2.5,0.2697885208333336,1.3198796505781807,0.519411706484686
0.92,2.75,0.2703467760416666,1.3212312248617395,0.5199488205983995
0.92,3,0.26791233854166674,1.3153689039718452,0.5176024908572859
0.92,3.25,0.2673835677083332,1.3135114221970834,0.5170914500437357
0.92,3.5,0.2691142812499999,1.3180186337355453,0.5187622588912959
0.92,3.75,0.2651654843749997,1.3084052130467563,0.5149422145979097
0.92,4,0.2697021145833332,1.3202304078682752,0.5193285227900863
0.92,4.25,0.2690027812500001,1.3178084935897436,0.5186547804175723
0.92,4.5,0.2673011770833333,1.3129010338109601,0.5170117765422112
0.92,4.75,0.27167663541666665,1.3238715277777777,0.52122608858025
0.92,5,0.2691165572916669,1.3183803890145807,0.5187644526099171
0.92,5.25,0.26976693749999997,1.3211397058823529,0.5193909293586094
0.92,5.5,0.2677247916666665,1.3150853129713418,0.5174212903105809
0.92,5.75,0.2704307343750002,1.3214916415284068,0.5200295514439542
0.92,6,0.2717614583333332,1.3248507415786823,0.5213074508707248
0.92,6.25,0.27372858854166665,1.3299333836098541,0.5231907764302297
0.92,6.5,0.2681172760416668,1.3162668112116644,0.5178004210520369
0.92,6.75,0.26724065625000004,1.3139246323529412,0.5169532437754889
0.92,7,0.2689192395833332,1.3181160444947204,0.518574237292341
0.92,7.25,0.26932089062500003,1.3193136469331321,0.5189613575450488
0.92,7.5,0.2749050312499999,1.3341970682503768,0.5243138671158716
0.99,1,0.26600423958333325,1.3112859005781796,0.515755988412479
0.99,1.25,0.26201473437500034,1.2997737556561095,0.5118737484722188
0.99,1.5,0.2667492760416667,1.3127890899949723,0.5164777594840524
0.99,1.75,0.2690972239583335,1.3175068344645555,0.5187458182562377
0.99,2,0.26789152604166655,1.3158017533936648,0.5175823857529027
0.99,2.25,0.2666328645833333,1.31213038901458,0.5163650497306468
0.99,2.5,0.26441358854166686,1.3063701923076927,0.5142116184429003
0.99,2.75,0.2678487187499998,1.3156674208144792,0.5175410309820854
0.99,3,0.2657816718749999,1.3089480423579687,0.5155401748409137
0.99,3.25,0.2635473177083334,1.3042043740573155,0.5133685982881436
0.99,3.5,0.2643790572916667,1.3063493746857717,0.5141780404603709
0.99,3.75,0.26893754687500016,1.3177401489441933,0.5185918885549601
0.99,4,0.26753994270833337,1.3148924553795878,0.5172426342717056
0.99,4.25,0.26370558854166665,1.3034887192056308,0.5135227244647179
0.99,4.5,0.2655688229166668,1.3102615164655609,0.515333700544285
0.99,4.75,0.2689630104166669,1.3179011909250886,0.5186164386294239
0.99,5,0.2669065937500001,1.312151206636501,0.5166300356638202
0.99,5.25,0.2670839270833333,1.3135420594519855,0.5168016322374894
0.99,5.5,0.2663956718749998,1.3110353035444944,0.5161353232195989
0.99,5.75,0.2696846562500002,1.3195430335595784,0.5193117139541532
0.99,6,0.26948098958333333,1.3190712983911514,0.519115584030506
0.99,6.25,0.268926135416666,1.3184514831573637,0.5185808860888202
0.99,6.5,0.27155894791666674,1.3248955191050782,0.5211131814842787
0.99,6.75,0.27199060416666665,1.3253000879839114,0.5215271844944103
