trace,memory,mse,mape,rmse
0.36,5,0.015329265398031712,0.1994054668426479,0.12381141061320525
0.36,5.25,0.014739760458990264,0.19744095585250673,0.12140741517300442
0.36,5.5,0.014485424358038995,0.1955439157230958,0.12035540851178643
0.36,5.75,0.014997811346788553,0.20171833324671098,0.12246555167388319
0.36,6,0.014130400586756376,0.1952977375916252,0.1188713615079611
0.36,6.25,0.014327818363125537,0.1984040569386971,0.1196988653376695
0.36,6.5,0.014409095883497074,0.20164521737280833,0.12003789353157225
0.36,6.75,0.014176099605226476,0.20442658198573532,0.11906342681624142
0.36,7,0.014406969666974113,0.20778344391353948,0.12002903676600139
0.36,7.25,0.014956271389056275,0.21392003797411974,0.12229583553439698
0.36,7.5,0.01564182715447642,0.2212478760029293,0.12506729050585697
0.36,7.75,0.015595472186530783,0.21482920630755933,0.12488183289226172
0.36,8,0.015903445749391277,0.22327898429033677,0.1261088646741032
0.36,8.25,0.016221786255144553,0.2262041499108959,0.12736477635180204
0.36,8.5,0.016527273196442115,0.22404932834662528,0.1285584427271975
0.36,8.75,0.01679018119068435,0.22426790020555826,0.12957693155297492
0.36,9,0.01756755543153206,0.23047002494777216,0.13254265513989094
0.36,9.25,0.017509236830022264,0.22752272710546684,0.13232247288356677
0.36,9.5,0.018151903970931846,0.23077328687241663,0.1347290019666584
0.36,9.75,0.01878752250210056,0.23331407662992282,0.13706758370271419
0.36,10,0.01925304559491019,0.23810170107012824,0.13875534438323517
0.36,10.25,0.019830253166571103,0.2404081155997448,0.14081993170915508
0.36,10.5,0.02023874730830357,0.2450881135935586,0.14226295128494829
0.43,3,0.02080496530289293,0.22384813053390487,0.14423926408191678
0.43,3.25,0.02020539906101386,0.2225912714967981,0.1421456965968856
0.43,3.5,0.018856721376333135,0.21671320753682752,0.13731977780470347
0.43,3.75,0.018241689794612367,0.214036864878674,0.13506179990882827
0.43,4,0.017177886340720747,0.21212311938129735,0.1310644358349005
0.43,4.25,0.017287134366955333,0.21268882401073197,0.131480547485
0.43,4.5,0.017231727659852678,0.21525545552571948,0.13126967532470202
0.43,4.75,0.016566749597094668,0.2083439826073983,0.12871188599773786
0.43,5,0.0162006112724889,0.2095032070536148,0.12728162189604947
0.43,5.25,0.016297809016924302,0.2073587767964219,0.12766287250772757
0.43,5.5,0.015953966204227614,0.20639300197996036,0.1263090107800216
0.43,5.75,0.016011211036778706,0.2105973022792605,0.12653541416053732
0.43,6,0.016064078581848915,0.21665186830928979,0.12674414614430488
0.43,6.25,0.016024904897395005,0.2166130971609481,0.12658951337845883
0.43,6.5,0.01626590117112011,0.2159712122046777,0.12753784211409613
0.43,6.75,0.016705281605134674,0.22264208929519141,0.12924891336152375
0.43,7,0.01667740572389822,0.22151043945470741,0.12914103036563637
0.43,7.25,0.01690027357190155,0.22351110836212248,0.1300010521953632
0.43,7.5,0.016877664814986787,0.22405952163615442,0.12991406704043557
0.43,7.75,0.017016886044719078,0.22280779651782456,0.1304487870572934
0.43,8,0.017577618312928506,0.22680165976165226,0.13258061062209853
0.43,8.25,0.017807500141635332,0.22850589434367397,0.13344474565015788
0.43,8.5,0.017651054702544796,0.22586513875551548,0.1328572719219569
0.43,8.75,0.017973589361881107,0.2282368453418109,0.134065615882228
0.43,9,0.01868757345049293,0.23450189349438405,0.1367024997960642
0.43,9.25,0.01895170770612962,0.23344399038938005,0.13766520150760547
0.43,9.5,0.019630316559484697,0.23949328445438733,0.14010823159074093
0.43,9.75,0.019846128196202722,0.24041161514129894,0.14087628684843564
0.43,10,0.020572534798858205,0.2459039731086033,0.1434312894694118
0.43,10.25,0.021102513422644412,0.25161343895536364,0.14526704176324515
0.43,10.5,0.02134175760597025,0.2545941702287136,0.14608818434757223
0.5,3,0.016326349428969485,0.20759296910345282,0.1277746040063106
0.5,3.25,0.016481473981632588,0.20923293984343655,0.12838019310482668
0.5,3.5,0.016262728166009283,0.210067439579185,0.12752540204213936
0.5,3.75,0.015575946180909257,0.2045386447581508,0.12480363047968299
0.5,4,0.015471261664093332,0.207395595065145,0.12438352649805895
0.5,4.25,0.015148149821927534,0.20791897912327018,0.12307782018677262
0.5,4.5,0.015220257235546406,0.20966736576468575,0.12337040664416409
0.5,4.75,0.015455074087970871,0.20972834461942352,0.12431843824618644
0.5,5,0.015627715207944853,0.20962071949475033,0.12501086035998973
0.5,5.25,0.015423762507260205,0.20762171002749955,0.12419244142563671
0.5,5.5,0.015573005448423228,0.21367362747009194,0.12479184848548093
0.5,5.75,0.015604224606370622,0.21507044345694956,0.12491687078361602
0.5,6,0.01590504426629436,0.21648718258865834,0.1261152023599628
0.5,6.25,0.016333885421127944,0.22056559455450778,0.12780409000156429
0.5,6.5,0.01645006418283116,0.22519836837782903,0.1282578035942888
0.5,6.75,0.016253600566981264,0.21850312386036033,0.12748960964322256
0.5,7,0.01685601472449013,0.22163838699961605,0.12983071564344906
0.5,7.25,0.017017040444821264,0.22815527567845786,0.13044937885946895
0.5,7.5,0.017266487216431724,0.22703832624604697,0.1314020061354914
0.5,7.75,0.01771358003114526,0.23018138531444785,0.1330923740533065
0.5,8,0.01786232832637836,0.22935517850475806,0.13365002179714883
0.5,8.25,0.018165380095395974,0.23205679198645388,0.13477900465352893
0.5,8.5,0.01878405028742624,0.23876499353457614,0.13705491704943037
0.5,8.75,0.01868647377181024,0.23366756671839928,0.13669847757678297
0.5,9,0.019404919958958232,0.2425999163018188,0.1393015432755798
